homophily_1,homophily_2,sustainability,step
0.85,0.65,0.06,8.96
0.9,0.65,0.03,6.21
0.95,0.65,0.03,8.41
0.99,0.65,0.04,12.74
0.0,0.7,0.17,14.24
0.05,0.7,0.18,15.03
0.1,0.7,0.19,16.3
0.15,0.7,0.21,16.76
0.2,0.7,0.21,16.5
0.25,0.7,0.19,15.76
0.3,0.7,0.18,15.46
0.35,0.7,0.15,14.4
0.4,0.7,0.17,13.49
0.45,0.7,0.14,12.66
0.5,0.7,0.14,12.78
0.55,0.7,0.15,13.18
0.6,0.7,0.11,11.03
0.65,0.7,0.15,13.77
0.7,0.7,0.1,11.41
0.75,0.7,0.12,12.28
0.8,0.7,0.1,9.57
0.85,0.7,0.11,12.52
0.9,0.7,0.1,14.12
0.95,0.7,0.07,9.91
0.99,0.7,0.04,17.37
0.0,0.75,0.2,16.14
0.05,0.75,0.17,13.86
0.1,0.75,0.25,19.2
0.15,0.75,0.16,13.94
0.2,0.75,0.16,13.88
0.25,0.75,0.21,16.21
0.3,0.75,0.21,15.98
0.35,0.75,0.2,17.02
0.4,0.75,0.23,18.83
0.45,0.75,0.19,14.7
0.5,0.75,0.16,14.74
0.55,0.75,0.2,16.36
0.6,0.75,0.23,18.62
0.65,0.75,0.12,11.26
0.7,0.75,0.21,17.88
0.75,0.75,0.09,9.56
0.8,0.75,0.2,17.97
0.85,0.75,0.2,21.07
0.9,0.75,0.11,12.6
0.95,0.75,0.1,13.67
0.99,0.75,0.12,24.64
0.0,0.8,0.22,17.49
0.05,0.8,0.19,15.16
0.1,0.8,0.3,22.06
0.15,0.8,0.32,23.71
0.2,0.8,0.23,17.97
0.25,0.8,0.23,17.13
0.3,0.8,0.22,17.08
0.35,0.8,0.23,18.52
0.4,0.8,0.22,16.91
0.45,0.8,0.25,19.87
0.5,0.8,0.24,18.45
0.55,0.8,0.19,15.62
0.6,0.8,0.2,17.32
0.65,0.8,0.18,16.64
0.7,0.8,0.2,16.83
0.75,0.8,0.19,17.25
0.8,0.8,0.13,13.32
0.85,0.8,0.19,17.49
0.9,0.8,0.22,21.26
0.95,0.8,0.14,17.11
0.99,0.8,0.17,24.31
0.0,0.85,0.28,20.65
0.05,0.85,0.34,24.32
0.1,0.85,0.26,20.29
0.15,0.85,0.37,27.15
0.2,0.85,0.25,19.09
0.25,0.85,0.29,23.5
0.3,0.85,0.28,21.02
0.35,0.85,0.23,18.08
0.4,0.85,0.24,19.15
0.45,0.85,0.26,19.96
0.5,0.85,0.34,26.19
0.55,0.85,0.28,21.41
0.6,0.85,0.22,18.02
0.65,0.85,0.27,21.72
0.7,0.85,0.23,20.34
0.75,0.85,0.22,17.84
0.8,0.85,0.25,21.42
0.85,0.85,0.19,17.47
0.9,0.85,0.2,17.97
0.95,0.85,0.21,19.81
0.99,0.85,0.21,29.21
0.0,0.9,0.34,25.98
0.05,0.9,0.38,27.73
0.1,0.9,0.3,22.51
0.15,0.9,0.26,20.75
0.2,0.9,0.29,24.04
0.25,0.9,0.22,17.15
0.3,0.9,0.33,25.56
0.35,0.9,0.32,24.1
0.4,0.9,0.22,17.01
0.45,0.9,0.24,19.05
0.5,0.9,0.27,20.56
0.55,0.9,0.25,19.38
0.6,0.9,0.3,23.11
0.65,0.9,0.22,17.53
0.7,0.9,0.2,17.38
0.75,0.9,0.33,25.98
0.8,0.9,0.38,28.81
0.85,0.9,0.23,20.58
0.9,0.9,0.29,25.3
0.95,0.9,0.31,27.06
0.99,0.9,0.26,27.55
0.0,0.95,0.28,21.41
0.05,0.95,0.33,24.82
0.1,0.95,0.4,29.1
0.15,0.95,0.33,24.54
0.2,0.95,0.32,24.7
0.25,0.95,0.29,22.73
0.3,0.95,0.31,23.59
0.35,0.95,0.4,30.42
0.4,0.95,0.21,16.8
0.45,0.95,0.23,18.14
0.5,0.95,0.34,25.64
0.55,0.95,0.27,20.94
0.6,0.95,0.3,22.88
0.65,0.95,0.3,22.53
0.7,0.95,0.29,22.27
0.75,0.95,0.27,21.56
0.8,0.95,0.29,22.36
0.85,0.95,0.34,26.53
0.9,0.95,0.39,29.78
0.95,0.95,0.3,24.52
0.99,0.95,0.24,25.07
0.0,0.99,0.35,25.46
0.05,0.99,0.29,21.43
0.1,0.99,0.27,20.23
0.15,0.99,0.32,23.93
0.2,0.99,0.41,29.72
0.25,0.99,0.38,27.99
0.3,0.99,0.24,20.61
0.35,0.99,0.25,19.22
0.4,0.99,0.27,20.8
0.45,0.99,0.38,28.36
0.5,0.99,0.29,21.82
0.55,0.99,0.31,23.44
0.6,0.99,0.28,22.03
0.65,0.99,0.33,25.17
0.7,0.99,0.38,28.65
0.75,0.99,0.26,21.34
0.8,0.99,0.22,17.58
0.85,0.99,0.33,25.22
0.9,0.99,0.36,27.1
0.95,0.99,0.36,27.33
0.99,0.99,0.27,25.89
