hmin,hmaj,clustering,reciprocity
0,-0.1,0.08695214493758484,0.0208
0,-0.1,0.08750398461751685,0.0199
0,-0.1,0.08627815116819383,0.0211
0,-0.1,0.08667497564401297,0.02
0,-0.1,0.08644607467071694,0.0224
0,-0.1,0.08684312334415242,0.0205
0,-0.1,0.08669872929319576,0.0203
0,-0.1,0.08635615678630988,0.0189
0,-0.1,0.08638760358842046,0.0211
0,-0.1,0.0868999756030295,0.0211
0,-0.1,0.08745932763894451,0.0191
0,-0.1,0.08659346254055528,0.0202
0,-0.1,0.08628845234932844,0.0203
0,-0.1,0.08602875049709272,0.0184
0,-0.1,0.08647463430822284,0.0211
0,-0.1,0.0865485548378469,0.0195
0,-0.1,0.08660476343058038,0.0191
0,-0.1,0.08677495145012601,0.019
0,-0.1,0.08729636423337025,0.0205
0,-0.1,0.08680707343355377,0.0184
0,-0.1,0.08642790170572165,0.0211
0,-0.1,0.0863593765164528,0.0192
0,-0.1,0.08594761020927154,0.0184
0,-0.1,0.08675085402320684,0.0193
0,-0.1,0.08653075627729023,0.0195
0,-0.1,0.08643588369141111,0.0176
0,-0.2,0.1006387765897135,0.0201
0,-0.2,0.09973434161849475,0.0201
0,-0.2,0.10040716975510255,0.0197
0,-0.2,0.09996533708973268,0.0212
0,-0.2,0.1002695946796627,0.0219
0,-0.2,0.10023624797006489,0.0218
0,-0.2,0.10000422660120127,0.0197
0,-0.2,0.10035902887621335,0.0183
0,-0.2,0.10002523820957447,0.0205
0,-0.2,0.10023153919193255,0.023
0,-0.2,0.10045295272028129,0.0192
0,-0.2,0.0995259933332958,0.0213
0,-0.2,0.10019374288257517,0.0211
0,-0.2,0.10061187102058451,0.0198
0,-0.2,0.09998186759924191,0.0201
0,-0.2,0.1000268642419188,0.0214
0,-0.2,0.1008404932919036,0.0191
0,-0.2,0.10055388058300804,0.0186
0,-0.2,0.09956201029722891,0.0205
0,-0.2,0.09966496783129858,0.0208
0,-0.2,0.10096523729560326,0.0202
0,-0.2,0.10016055580666432,0.0188
0,-0.2,0.10107385812534962,0.019
0,-0.2,0.10030874092200465,0.0218
0,-0.2,0.10089092440950055,0.0205
0,-0.2,0.10028436035030124,0.0176
0,-0.2,0.10045859173639236,0.0188
0,-0.2,0.10003881069533054,0.0206
0,-0.2,0.09956298028603335,0.0208
0,-0.2,0.10053918159312789,0.0192
0,-0.2,0.10090652093283145,0.0208
0,-0.2,0.10070501361485372,0.021
0,-0.2,0.10046917973474072,0.0204
0,-0.2,0.09994047259467524,0.0205
0,-0.2,0.10074541996062594,0.0193
0,-0.2,0.10056120741539519,0.021
0,-0.2,0.10047211971203412,0.023
0,-0.2,0.09959964606400648,0.0197
0,-0.2,0.09946925462928564,0.0211
0,-0.2,0.10064798008543988,0.0212
0,-0.2,0.10054693460419353,0.0218
0,-0.2,0.1014063375019077,0.0179
0,-0.2,0.1006661279309294,0.0199
0,-0.2,0.10068287060049838,0.0194
0,-0.2,0.09981546292856887,0.0196
0,-0.2,0.10008663890656638,0.0198
0,-0.2,0.09970453320216191,0.0204
0,-0.2,0.10063697036580606,0.0222
0,-0.2,0.10041201171789645,0.0205
0,-0.2,0.09981045685830726,0.0188
0,-0.2,0.09964588881895088,0.0203
